Fecha;Posicion;Ultimo
2021-11-12;2021-11-30;102,13
2021-11-12;2021-12-31;107,05
2021-11-12;2022-01-31;114,1
2021-11-12;2022-02-28;119,04
2021-11-12;2022-03-31;125,17
2021-11-12;2022-04-30;130,8
2021-11-12;2022-05-31;136,8
2021-11-12;2022-06-30;142,25
2021-11-12;2022-07-31;147,4
2021-11-12;2022-08-31;153,2
2021-11-12;2022-09-30;158,8
2021-10-29;2021-11-30;102,44
2021-10-29;2021-12-31;107,89
2021-10-29;2022-01-31;114,4
2021-10-29;2022-02-28;119,4
2021-10-29;2022-03-31;125,4
2021-10-29;2022-04-30;130,45
2021-10-29;2022-05-31;136
2021-10-29;2022-06-30;140,6
2021-10-29;2022-07-31;145,5
2021-10-29;2022-08-31;150,5
2021-10-29;2022-09-30;155,5
2021-10-29;2022-10-31;160
2021-09-30;2021-11-30;103,45
2021-09-30;2021-12-31;108,03
2021-09-30;2022-01-31;114,05
2021-09-30;2022-02-28;118,42
2021-09-30;2022-03-31;123,82
2021-09-30;2022-04-30;128,45
2021-09-30;2022-05-31;133,2
2021-09-30;2022-06-30;137,55
2021-09-30;2022-07-31;141,9
2021-09-30;2022-09-30;149
2021-08-31;2021-11-30;104,75
2021-08-31;2021-12-31;109,97
2021-08-31;2022-01-31;116
2021-08-31;2022-02-28;120,4
2021-08-31;2022-03-31;125,45
2021-08-31;2022-04-30;129,75
2021-08-31;2022-05-31;134
2021-08-31;2022-06-30;137,85
2021-08-31;2022-07-31;142
2021-08-31;2022-08-31;145
