"Fecha","Caja de Ahorros","Circulante en poder del público","Cta. Cte."
2021-01-04,1512023,1644026,1711375
2021-01-05,1484943,1639115,1665925
2021-01-06,1490765,1638884,1630943
2021-01-07,1516243,1640366,1589509
2021-01-08,1531337,1640861,1569084
2021-01-11,1435446,1643142,1582798
2021-01-12,1397569,1633372,1672886
2021-01-13,1384713,1627034,1744630
2021-01-14,1426362,1621957,1736300
2021-01-15,1430593,1614904,1709323
2021-01-18,1431771,1613430,1664423
2021-01-19,1414503,1604193,1659743
2021-01-20,1398812,1597796,1716625
2021-01-21,1372342,1593709,1755483
2021-01-22,1345848,1589124,1759118
2021-01-25,1300657,1589503,1793778
2021-01-26,1282733,1582764,1792124
2021-01-27,1346685,1579682,1797795
2021-01-28,1376365,1578642,1802162
2021-01-29,1495842,1579739,1707134
2021-02-01,1470184,1590603,1673656
2021-02-02,1454228,1589728,1663477
2021-02-03,1491373,1589515,1650028
2021-02-04,1506589,1593031,1634037
2021-02-05,1501913,1598224,1589418
