"Fecha","Caja de Ahorros","Circulante en poder del público","Cta. Cte."
2021-01-04,1512023,1644026,1711375
2021-01-05,1484943,1639115,1665925
2021-01-06,1490765,1638884,1630943
2021-01-07,1516243,1640366,1589509
2021-01-08,1531337,1640861,1569084
2021-01-11,1435446,1643142,1582798
2021-01-12,1397569,1633372,1672886
2021-01-13,1384713,1627034,1744630
2021-01-14,1426362,1621957,1736300
2021-01-15,1430593,1614904,1709323
2021-01-18,1431771,1613430,1664423
2021-01-19,1414503,1604193,1659743
2021-01-20,1398812,1597796,1716625
2021-01-21,1372342,1593709,1755483
2021-01-22,1345848,1589124,1759118
2021-01-25,1300657,1589503,1793778
2021-01-26,1282733,1582764,1792124
2021-01-27,1346686,1579681,1797779
2021-01-28,1376365,1578642,1802069
2021-01-29,1495842,1579739,1706777
2021-02-01,1470131,1591573,1672609
2021-02-02,1454226,1590090,1663204
2021-02-03,1491412,1589456,1650111
