"Fecha","Circulante en Entidades","Circulante en Público","Cta. Cte. en BCRA"
2021-01-04,253518,1644026,729205
2021-01-05,255292,1639115,724878
2021-01-06,252669,1638884,767470
2021-01-07,248036,1640366,795589
2021-01-08,244300,1640861,688651
2021-01-11,238611,1643142,713186
2021-01-12,244794,1633372,722548
2021-01-13,247052,1627034,784478
2021-01-14,246478,1621957,762764
2021-01-15,248130,1614904,736546
2021-01-18,246328,1613430,705271
2021-01-19,250396,1604193,715944
2021-01-20,252035,1597796,752514
2021-01-21,252013,1593709,760694
2021-01-22,252340,1589124,776526
2021-01-25,249730,1589503,783544
2021-01-26,253896,1582764,763624
2021-01-27,255414,1579682,728447
2021-01-28,254620,1578642,759686
2021-01-29,251399,1579672,650239
2021-02-01,240308,1590832,773238
2021-02-02,241344,1589260,775600
2021-02-03,240985,1589783,779977
2021-02-04,241355,1592192,765897
2021-02-05,236197,1598191,751992
2021-02-08,226534,1610532,797370
2021-02-09,236086,1603526,748805
2021-02-10,245266,1598981,746762
2021-02-11,255765,1594229,692909
2021-02-12,260193,1589753,665333
2021-02-17,260583,1588816,905219
2021-02-18,269242,1576189,854118
2021-02-19,267874,1570635,871919
2021-02-22,261818,1570463,821560
2021-02-23,263825,1562595,730035
2021-02-24,264079,1560009,699120
2021-02-25,262397,1558397,665033
