Fecha;Caja de Ahorros;Circulante en poder del público;Cta. Cte.
2021-01-04;1512027;1643841;1711684
2021-01-05;1484942;1639114;1665925
2021-01-06;1490771;1638884;1630943
2021-01-07;1516252;1640364;1589509
2021-01-08;1531359;1640597;1569084
2021-01-11;1435448;1643091;1582798
2021-01-12;1397568;1633050;1672896
2021-01-13;1384716;1626534;1744640
2021-01-14;1426362;1621868;1736310
2021-01-15;1430589;1614841;1709333
2021-01-18;1431760;1613405;1664433
2021-01-19;1414491;1603744;1659753
2021-01-20;1398798;1597538;1716559
2021-01-21;1372329;1593610;1755483
2021-01-22;1345835;1589063;1759118
2021-01-25;1300768;1589449;1793778
2021-01-26;1282842;1582716;1792185
2021-01-27;1346678;1579605;1797716
2021-01-28;1376345;1578591;1802162
2021-01-29;1502598;1582005;1709303
2021-02-01;1470944;1590793;1675608
2021-02-02;1454478;1589221;1664065
2021-02-03;1491338;1589788;1650581
2021-02-04;1506764;1592124;1636174
2021-02-05;1503167;1598191;1590142
2021-02-08;1408776;1610482;1609748
2021-02-09;1393480;1603497;1600719
2021-02-10;1365969;1598953;1654110
2021-02-11;1372388;1594126;1684775
2021-02-12;1389300;1589709;1673719
2021-02-17;1350338;1588800;1703997
2021-02-18;1360937;1576097;1679280
2021-02-19;1347472;1570556;1730795
2021-02-22;1305920;1570483;1780324
2021-02-23;1310576;1562812;1794676
2021-02-24;1324350;1559674;1786067
2021-02-25;1371197;1558300;1810364
2021-02-26;1486499;1562953;1706326
2021-03-01;1537688;1578312;1676253
2021-03-02;1520732;1577174;1645889
2021-03-03;1553648;1578626;1646509
2021-03-04;1587352;1582587;1618560
2021-03-05;1608894;1590212;1576766
2021-03-08;1520836;1606446;1600399
2021-03-09;1492368;1602473;1582768
2021-03-10;1480898;1598964;1688830
2021-03-11;1448041;1596009;1744527
2021-03-12;1450753;1592457;1753094
2021-03-15;1389974;1591547;1774775
2021-03-16;1375255;1581826;1753504
2021-03-17;1361827;1576179;1750273
2021-03-18;1314767;1573190;1782483
2021-03-19;1307067;1571556;1795765
2021-03-22;1303534;1575248;1787089
2021-03-23;1286915;1567838;1804591
2021-03-25;1290450;1565099;1892262
2021-03-26;1297834;1560355;1884900
2021-03-29;1295903;1562319;1960287
2021-03-30;1343733;1557302;1936060
2021-03-31;1485484;1556995;1836724
2021-04-05;1448306;1579444;1825739
2021-04-06;1439169;1574771;1805213
2021-04-07;1491215;1578530;1799896
2021-04-08;1494842;1585521;1782675
2021-04-09;1446072;1585986;1766231
2021-04-12;1356142;1587366;1839275
2021-04-13;1309585;1577491;1873966
2021-04-14;1369531;1575563;1899904
2021-04-15;1368239;1571314;1857445
2021-04-16;1341027;1567966;1747401
2021-04-19;1323905;1569403;1849536
