Fecha;Caja de Ahorros;Circulante en poder del público;Cta. Cte.
2020-01-02;788770;1008506;916046
2020-01-03;782911;1010074;894003
2020-01-06;746671;1012713;855102
2020-01-07;755036;1011178;833050
2020-01-08;750432;1013172;843220
2020-01-09;736672;1013087;841439
2020-01-10;780883;1011384;884753
2020-01-13;749704;1009754;925608
2020-01-14;770603;1003336;957853
2020-01-15;798790;1001556;949312
2020-01-16;806771;1000901;932549
2020-01-17;805000;1000031;903784
2020-01-20;805074;997592;962642
2020-01-21;814155;992955;977858
2020-01-22;804622;992273;1019579
2020-01-23;780622;991765;1027897
2020-01-24;773988;993328;1005275
2020-01-27;790995;992940;1024475
2020-01-28;798879;990538;1015756
2020-01-29;813855;991518;1025524
2020-01-30;862861;995135;977998
2020-01-31;918450;999994;904757
2020-02-03;930995;1004440;897545
2020-02-04;915561;1007143;871183
2020-02-05;934549;1010592;860234
2020-02-06;944052;1015790;846372
2020-02-07;941527;1021140;848803
2020-02-10;878433;1023889;851972
2020-02-11;849091;1016484;895875
2020-02-12;855969;1015348;889707
2020-02-13;840536;1013889;938779
2020-02-14;853642;1013575;899828
2020-02-17;857746;1011039;889720
2020-02-18;847803;1004960;896535
2020-02-19;832442;1003060;940397
2020-02-20;815180;1005199;995452
2020-02-21;826727;1006644;969358
2020-02-26;817741;1002876;1025107
2020-02-27;841774;999807;1037896
2020-02-28;940773;1007070;944913
2020-03-02;961652;1015668;923354
2020-03-03;958725;1016818;913388
2020-03-04;964011;1019631;898084
2020-03-05;987732;1026368;888367
2020-03-06;962600;1034198;857285
2020-03-09;907955;1039828;876198
2020-03-10;873741;1034352;912655
2020-03-11;873536;1030932;969173
2020-03-12;890864;1029605;976490
2020-03-13;905514;1030650;944821
2020-03-16;894014;1031439;958286
2020-03-17;879690;1027451;968056
2020-03-18;882489;1026373;1007560
2020-03-19;874097;1031101;1074057
2020-03-20;891045;1033295;1071289
2020-03-25;895550;1037893;1146028
2020-03-26;938590;1038016;1157263
