Fecha;Dólar Futuro;REM;TC Mayorista
2021-01-01;NA;NA;NA
2021-01-04;NA;NA;84,7033
2021-01-05;NA;NA;84,7967
2021-01-06;NA;NA;84,9033
2021-01-07;NA;NA;85
2021-01-08;NA;NA;85,105
2021-01-11;NA;NA;85,3783
2021-01-12;NA;NA;85,465
2021-01-13;NA;NA;85,555
2021-01-14;NA;NA;85,645
2021-01-15;NA;NA;85,735
2021-01-18;NA;NA;86,0667
2021-01-19;NA;NA;86,1967
2021-01-20;NA;NA;86,32
2021-01-21;NA;NA;86,4283
2021-01-22;NA;NA;86,5467
2021-01-25;NA;NA;86,9117
2021-01-26;NA;NA;87,0217
2021-01-27;NA;NA;87,1233
2021-01-28;NA;NA;87,2167
2021-01-29;NA;NA;87,2983
2021-02-01;NA;NA;87,605
2021-02-02;NA;NA;87,7033
2021-02-03;NA;NA;87,805
2021-02-04;NA;NA;87,905
2021-02-05;NA;NA;88,005
2021-02-08;NA;NA;88,165
2021-02-09;NA;NA;88,275
2021-02-10;NA;NA;88,355
2021-02-11;NA;NA;88,45
2021-02-12;NA;NA;88,5383
2021-02-15;NA;NA;88,5383
2021-02-16;NA;NA;88,5383
2021-02-17;NA;NA;88,945
2021-02-18;NA;NA;89,045
2021-02-19;NA;NA;89,1567
2021-02-22;NA;NA;89,4383
2021-02-23;NA;NA;89,535
2021-02-24;NA;NA;89,6383
2021-02-25;NA;NA;89,7533
2021-02-26;NA;NA;89,825
2021-03-01;NA;NA;90,085
2021-03-02;NA;NA;90,155
2021-03-03;NA;NA;90,2233
2021-03-04;NA;NA;90,295
2021-03-05;NA;NA;90,365
2021-03-08;NA;NA;90,5817
2021-03-09;NA;NA;90,6517
2021-03-10;NA;NA;90,7233
2021-03-11;NA;NA;90,7867
2021-03-12;NA;NA;90,855
2021-03-15;NA;NA;91,0667
2021-03-16;NA;NA;91,135
2021-03-17;NA;NA;91,205
2021-03-18;NA;NA;91,28
2021-03-19;NA;NA;91,3567
2021-03-22;NA;NA;91,5683
2021-03-23;NA;NA;91,6367
2021-03-24;NA;NA;NA
2021-03-25;NA;NA;91,7767
2021-03-26;NA;NA;91,8483
