"Fecha","M2","Cuenta Corriente","Caja de Ahorros","Circulante en poder del público"
2021-01-04,4867424,1711375,1512023,1644026
2021-01-05,4789983,1665925,1484943,1639115
2021-01-06,4760592,1630943,1490765,1638884
2021-01-07,4746118,1589509,1516243,1640366
2021-01-08,4741282,1569084,1531337,1640861
2021-01-11,4661386,1582798,1435446,1643142
2021-01-12,4703827,1672886,1397569,1633372
2021-01-13,4756377,1744630,1384713,1627034
2021-01-14,4784619,1736300,1426362,1621957
2021-01-15,4754820,1709323,1430593,1614904
2021-01-18,4709624,1664423,1431771,1613430
2021-01-19,4678439,1659743,1414503,1604193
2021-01-20,4713233,1716625,1398812,1597796
2021-01-21,4721534,1755483,1372342,1593709
2021-01-22,4694090,1759118,1345848,1589124
2021-01-25,4684067,1793778,1300786,1589503
2021-01-26,4657812,1792185,1282863,1582764
2021-01-27,4724162,1797795,1346685,1579682
2021-01-28,4757169,1802162,1376365,1578642
2021-01-29,4784293,1708761,1495866,1579666
2021-02-01,4735509,1674500,1470186,1590823
2021-02-02,4707482,1664003,1454228,1589251
2021-02-03,4731280,1650451,1491058,1589771
2021-02-04,4734841,1636174,1506483,1592184
2021-02-05,4691156,1590097,1502878,1598181
2021-02-08,4640739,1609725,1420492,1610522
2021-02-09,4609389,1600671,1405201,1603517
2021-02-10,4630671,1654049,1377654,1598968
2021-02-11,4663087,1684763,1384101,1594223
2021-02-12,4651622,1672972,1388899,1589751
2021-02-17,4653735,1702461,1362063,1589211
2021-02-18,4628269,1679216,1372764,1576289
2021-02-19,4647201,1729175,1347401,1570625
