"Fecha","25% anual","30% anual","35% anual","Dólar Futuro","REM","Últimos 10 días"
2021-02-19,89.1567,89.1567,89.1567,NA,NA,89.1567
2021-02-22,89.297210310841,89.3305717818944,89.3626857917827,NA,NA,89.4290943514994
2021-02-23,89.3440962735047,89.3886043613639,89.431453424866,NA,NA,89.5200772827698
2021-02-24,89.3910068538858,89.4466746410317,89.5002739769873,NA,NA,89.6111527778064
2021-02-25,89.4379420649101,89.5047826453895,89.5691474888694,NA,NA,89.7023209307813
2021-02-26,89.48490191951,89.5629283989445,89.6380740012669,89.8,89.2,89.7935818359623
2021-03-01,89.6259294741894,89.7375924001066,89.845171949565,89.9326086956522,89.3452707560386,90.0679220088604
2021-03-02,89.672988032552,89.7958893958437,89.9143108721946,90.0652173913043,89.4905415120773,90.1595548674644
2021-03-03,89.7200712992542,89.8542242635541,89.9835029995822,90.1978260869565,89.6358122681159,90.2512809510545
2021-03-04,89.7671792872695,89.912597027841,90.0527483726705,90.3304347826087,89.7810830241546,90.3431003544755
2021-03-05,89.8143120095778,89.9710077133234,90.1220470324339,90.4630434782609,89.9263537801932,90.4350131726686
2021-03-08,89.9558587121637,90.146467543375,90.3302631419922,90.595652173913,90.0716245362319,90.7113130667429
2021-03-09,90.003090501581,90.2050301601505,90.3997753588311,90.7282608695652,90.2168952922705,90.8036004953705
2021-03-10,90.0503470902939,90.263630821457,90.4693410676906,90.8608695652174,90.3621660483092,90.8959818149274
2021-03-11,90.0976284913235,90.3222695520098,90.5389603097345,90.9934782608696,90.5074368043478,90.988457120936
2021-03-12,90.1449347176974,90.3809463765401,90.6086331261584,91.1260869565217,90.6527075603865,91.0810265090156
2021-03-15,90.287002479267,90.5572056615495,90.8179734341425,91.2586956521739,90.7979783164251,91.3593001233354
2021-03-16,90.3344081374339,90.6160351096237,90.8878609606772,91.3913043478261,90.9432490724638,91.4522467978411
2021-03-17,90.3818386861872,90.6749027755729,90.9578022680461,91.5239130434783,91.0885198285024,91.5452880339764
2021-03-18,90.4292941385956,90.7338086842248,91.0277973976352,91.6565217391304,91.2337905845411,91.6384239279461
2021-03-19,90.4767745077351,90.7927528604233,91.0978463908628,91.7891304347826,91.3790613405797,91.7316545760525
2021-03-22,90.6193652464006,90.9698152429806,91.308316967034,91.9217391304348,91.5243320966184,92.011916009688
2021-03-23,90.6669454133594,91.0289127381282,91.378581829633,92.054347826087,91.669602852657,92.1055266393279
2021-03-24,90.7145505625313,91.0880486252843,91.4489007634392,92.1869565217391,91.8148736086956,92.1992325060887
2021-03-25,90.7621807070332,91.1472229293901,91.519273810062,92.3195652173913,91.9601443647343,92.2930337068625
2021-03-26,90.8098358599892,91.2064356754025,91.5897010111433,92.4521739130435,92.1054151207729,92.3869303386397
