Fecha;Pases y Leliq;Compras de divisas;Otros;Intereses;Financiamiento del Tesoro;Total
2019-01-02;-24058,7933978094;0;192,541776629592;2010,24888901945;-2024,99726783965;-23881
2019-01-03;-57365,9185424277;0;16,9715877898895;4462,13691855776;-1955,18996391995;-54842
2019-01-04;-67430,4387022559;0;-291,674881910385;6191,200468316;-1875,08688414972;-63406
2019-01-07;-87551,2300916232;0;-488,325389190565;9290,36224888335;3473,19323193038;-75276
2019-01-08;-80528,3028203444;0;-1431,15923078031;13099,9669716345;2649,49507949014;-66210
2019-01-09;-104879,468224349;0;-2052,75593290042;14569,4533740088;2548,77078324027;-89814
2019-01-10;-105068,018015066;746,1;-2749,28622724071;16275,4481889559;3314,75605335057;-87481
2019-01-11;-115449,904538944;2230,06;-3089,46521796061;17734,5759399248;2040,73381698029;-96534
2019-01-14;-94534,6464216173;4086,61;-3422,87262684047;19895,8011144776;2618,10793398019;-71357
2019-01-15;-95618,7768839069;5938,45;-3674,0817960906;22250,7563134772;3062,65236652033;-68041
2019-01-16;-104047,612883481;7062,67;-3638,85174173003;23982,8001918915;2404,99443331984;-74236
2019-01-17;-100361,789359188;7062,67;-3399,35942055013;25660,9887178379;2955,49006189998;-68082
2019-01-18;-128580,748593445;7062,67;-3521,3960456304;27207,9655120849;3244,50912699018;-94587
2019-01-21;-120518,976496022;7062,67;-3436,06794649067;29118,2825213526;3523,09192116041;-84251
2019-01-22;-107123,57458207;8942,52;-3337,9968483208;31431,2420351202;3519,80939527043;-66568
2019-01-23;-99282,9083007832;10818,6;-3229,75761061032;33222,3605611736;3494,70535021995;-54977
2019-01-24;-93350,3820227835;12696,76;-3412,12368012041;34830,1675535438;3427,57814936013;-45808
2019-01-25;-92743,3476904364;14556,925;-3491,48994501031;36593,6883315668;3426,22430387992;-41658
2019-01-28;-97156,9980210083;16413,175;-3561,55424601047;38487,3992473488;3664,97801967;-42153
2019-01-29;-79150,9123402165;18269,785;-2998,55844974091;40686,782514897;3594,9032750604;-19598
2019-01-30;-89866,9482701434;19021,385;-3175,27954317058;42459,9326996139;3785,9101137001;-27775
2019-01-31;-121629,616315117;20875,865;-3497,36290783077;44083,2052961079;3995,90892684031;-56172
2019-02-01;-37176,5112785488;22741,035;-2846,14728867087;45810,6386344492;3951,98493277049;32481
2019-02-04;-74385,7338921624;25540,37;-2387,77826750099;47332,0264151727;3583,11574449067;-318
2019-02-05;-105498,8234167;28328,599;-2080,40289487102;48920,2858038307;3639,34150774066;-26691
2019-02-06;-121819,223532762;31134,609;-1673,54763902051;50587,4970246824;3701,66514710016;-38069
2019-02-07;-155783,807597103;32080,159;-1714,70039377042;52067,0695564933;3687,27943438006;-69664
2019-02-08;-170499,488676093;33027,159;-1528,58786234084;53760,3084871533;3947,60905128048;-81293
2019-02-11;-183584,525500623;33027,159;-1555,89954177095;55515,5615361233;4043,70450627044;-92554
2019-02-12;-189094,197750833;35862,039;-1364,13901824095;57276,7191844733;3894,57858460035;-93425
2019-02-13;-213800,720580023;36547,454;-1435,51795997089;58904,1919356133;3801,59260438047;-115983
2019-02-14;-214449,181379423;36547,454;-1482,5822417808;60534,6064626833;3782,70315852038;-115067
2019-02-15;-211931,139725233;36547,454;-1595,24852464117;62165,2190305833;3568,71521929058;-111245
2019-02-18;-210533,091225717;36547,454;-1916,0908385868;63800,8162340133;3769,91183029021;-108331
2019-02-19;-200703,919074897;36547,454;-2156,56783091703;65403,5128960133;4097,52000980053;-96812
2019-02-20;-213298,358555087;36547,454;-2400,5859043672;67076,1389112633;4027,35154819062;-108048
2019-02-21;-216678,651123927;36547,454;-2664,18752887678;68580,4739216333;4048,91073117028;-110166
2019-02-22;-199886,022745167;36547,454;-626,712780786704;70135,9641359733;-33,6826100197365;-93863
2019-02-25;-168291,807379097;36547,454;457,856851693258;71741,6098562933;1663,68667111036;-57881,2
2019-02-26;-148222,572094077;36547,454;1271,53576161325;73264,5620114333;1689,0203210303;-35450
2019-02-27;-119726,301319007;36547,454;1559,65994008343;75125,0384594033;1671,14891951993;-4823
2019-02-28;-122542,288703107;36547,454;1404,33250767326;76837,9557762033;1856,14641923016;-5896,39999999991
2019-03-01;-123486,696824237;36547,454;1240,32061800338;78441,3345154733;1872,58769075987;-5385
2019-03-06;-161937,847926152;36547,454;1097,21732911319;80399,5425847686;1810,63401226998;-42083
