Fecha;Pases y Leliq;Otros;Compras de divisas;Intereses;Financiamiento del Tesoro;Total
2019-01-02;-24058,7933978094;192,541776629592;0;2010,24888901945;-2024,99726783965;-23881
2019-01-03;-57365,9185424277;16,9715877898895;0;4462,13691855776;-1955,18996391995;-54842
2019-01-04;-67430,4387022559;-291,674881910385;0;6191,200468316;-1875,08688414972;-63406
2019-01-07;-87551,2300916232;-488,325389190565;0;9290,36224888335;3473,19323193038;-75276
2019-01-08;-80528,3028203444;-1431,15923078031;0;13099,9669716345;2649,49507949014;-66210
2019-01-09;-104879,468224349;-2052,75593290042;0;14569,4533740088;2548,77078324027;-89814
2019-01-10;-105068,018015066;-2749,28622724071;746,1;16275,4481889559;3314,75605335057;-87481
2019-01-11;-115449,904538944;-3089,46521796061;2230,06;17734,5759399248;2040,73381698029;-96534
2019-01-14;-94534,6464216173;-3422,87262684047;4086,61;19895,8011144776;2618,10793398019;-71357
2019-01-15;-95618,7768839069;-3674,0817960906;5938,45;22250,7563134772;3062,65236652033;-68041
2019-01-16;-104047,612883481;-3638,85174173003;7062,67;23982,8001918915;2404,99443331984;-74236
2019-01-17;-100361,789359188;-3399,35942055013;7062,67;25660,9887178379;2955,49006189998;-68082
2019-01-18;-128580,748593445;-3521,3960456304;7062,67;27207,9655120849;3244,50912699018;-94587
2019-01-21;-120518,976496022;-3436,06794649067;7062,67;29118,2825213526;3523,09192116041;-84251
2019-01-22;-107123,57458207;-3337,9968483208;8942,52;31431,2420351202;3519,80939527043;-66568
2019-01-23;-99282,9083007832;-3229,75761061032;10818,6;33222,3605611736;3494,70535021995;-54977
2019-01-24;-93350,3820227835;-3412,12368012041;12696,76;34830,1675535438;3427,57814936013;-45808
2019-01-25;-92743,3476904364;-3491,48994501031;14556,925;36593,6883315668;3426,22430387992;-41658
2019-01-28;-97156,9980210083;-3561,55424601047;16413,175;38487,3992473488;3664,97801967;-42153
2019-01-29;-79150,9123402165;-2998,55844974091;18269,785;40686,782514897;3594,9032750604;-19598
2019-01-30;-89866,9482701434;-3175,27954317058;19021,385;42459,9326996139;3785,9101137001;-27775
2019-01-31;-121629,616315117;-3497,36290783077;20875,865;44083,2052961079;3995,90892684031;-56172
2019-02-01;-37176,5112785488;-2846,14728867087;22741,035;45810,6386344492;3951,98493277049;32481
2019-02-04;-74385,7338921624;-2387,77826750099;25540,37;47332,0264151727;3583,11574449067;-318
2019-02-05;-105498,8234167;-2080,40289487102;28328,599;48920,2858038307;3639,34150774066;-26691
2019-02-06;-121819,223532762;-1673,54763902051;31134,609;50587,4970246824;3701,66514710016;-38069
2019-02-07;-155783,807597103;-1714,70039377042;32080,159;52067,0695564933;3687,27943438006;-69664
2019-02-08;-170499,488676093;-1528,58786234084;33027,159;53760,3084871533;3947,60905128048;-81293
2019-02-11;-183584,525500623;-1555,89954177095;33027,159;55515,5615361233;4043,70450627044;-92554
2019-02-12;-189094,197750833;-1364,13901824095;35862,039;57276,7191844733;3894,57858460035;-93425
2019-02-13;-213800,720580023;-1435,51795997089;36547,454;58904,1919356133;3801,59260438047;-115983
2019-02-14;-214449,181379423;-1482,5822417808;36547,454;60534,6064626833;3782,70315852038;-115067
2019-02-15;-211931,139725233;-1595,24852464117;36547,454;62165,2190305833;3568,71521929058;-111245
2019-02-18;-210533,091225717;-1916,0908385868;36547,454;63800,8162340133;3769,91183029021;-108331
2019-02-19;-200703,919074897;-2156,56783091703;36547,454;65403,5128960133;4097,52000980053;-96812
2019-02-20;-213298,358555087;-2400,5859043672;36547,454;67076,1389112633;4027,35154819062;-108048
2019-02-21;-216678,651123927;-2664,18752887678;36547,454;68580,4739216333;4048,91073117028;-110166
2019-02-22;-199886,022745167;-626,712780786704;36547,454;70135,9641359733;-33,6826100197365;-93863
2019-02-25;-168291,807379097;457,856851693258;36547,454;71741,6098562933;1663,68667111036;-57881,2
2019-02-26;-148222,572094077;1271,53576161325;36547,454;73264,5620114333;1689,0203210303;-35450
2019-02-27;-119726,301319007;1559,65994008343;36547,454;75125,0384594033;1671,14891951993;-4823
2019-02-28;-122542,288703107;1404,33250767326;36547,454;76837,9557762033;1856,14641923016;-5896,39999999991
2019-03-01;-123486,696824237;1240,32061800338;36547,454;78441,3345154733;1872,58769075987;-5385
2019-03-06;-161937,847926152;1097,21732911319;36547,454;80399,5425847686;1810,63401226998;-42083
2019-03-07;-224889,21183153;928,358207213255;36547,454;82351,7535396168;1774,64608469988;-103287
2019-03-08;-244975,364536777;778,784179253524;36547,454;84605,1395614636;1121,98679605971;-121922
2019-03-11;-277532,221537158;-62,7257061569841;36547,454;86887,1825179645;60,3107253502277;-154100
2019-03-12;-278162,645006642;-150,759139657024;36547,454;89868,6868669682;30,2632793303708;-151867
2019-03-13;-278187,307379889;25,4337945735247;36547,454;91794,0640811957;-105,244495880103;-149925,6
2019-03-14;-257005,747192539;84,8335687831368;36547,454;93991,9410260257;-262,481402269558;-126644
2019-03-15;-255662,596673961;-309,4580393765;36547,454;96256,1211753076;-268,520461970032;-123437
2019-03-18;-259866,921102179;-919,84921109673;36547,454;98365,1096945057;-479,793381229592;-126354
2019-03-19;-269733,719832511;-1054,38830261669;36547,454;100719,689733098;-261,035597969719;-133782
2019-03-20;-277843,675130006;-1132,12779599661;36547,454;103133,394105882;-36,6451798797445;-139331,6
2019-03-21;-266265,088105146;-1227,14650923646;36547,454;105572,786820893;-17,5062065098786;-125389,5
2019-03-22;-268132,365685431;-1377,97185515644;36547,454;108051,737006077;61,1465345100118;-124850
2019-03-25;-262053,884840053;-1351,64618010651;36547,454;110349,73639869;-59,6593785298631;-116568
2019-03-26;-242640,038923614;-639,700540066455;36547,454;112881,480856201;88,8046074802533;-93762
2019-03-27;-233492,950993395;-559,758899456445;36547,454;115464,213256881;115,042635970198;-81926
2019-03-28;-231690,935857976;-95,4702812665725;36547,454;117799,519339502;138,432799740276;-77301
2019-03-29;-214420,155344887;550,327804733452;36547,454;120450,529990463;-584,156450309784;-57456
2019-04-01;-206437,102708269;266,793518603259;36547,454;122901,930771346;-93,07558167968;-46814
2019-04-03;-221613,055476158;214,322245473274;36547,454;125660,963532634;-138,684301949768;-59329
2019-04-04;-226485,721655879;116,536006563231;36547,454;128615,570064425;-735,838415109777;-61942
2019-04-05;-258392,841314661;277,599687043033;36547,454;131362,103359067;-80,3157314498079;-90286
2019-04-08;-290740,33887862;-134,319491907117;36547,454;134405,531855996;-101,327485469538;-120023
2019-04-09;-292869,052415145;-299,729800366932;36547,454;137392,865988231;-71,5377727196563;-119300
2019-04-10;-291085,115884838;-608,067834296781;36547,454;139991,213884925;-70,4841657898448;-115225
2019-04-11;-285273,192203909;-908,410054406972;36547,454;142683,633991706;24,5142666102993;-106926
2019-04-12;-269492,491639577;-1456,27236771818;36547,454;145466,176161684;618,133845611423;-88317
2019-04-15;-272663,334855384;-1705,70462382778;36547,454;147982,281386631;-1837,6959074189;-91677
2019-04-16;-281821,708448109;-1697,05095598762;36547,454;150583,390648385;-4440,08524428887;-100828
2019-04-17;-335355,774575398;-1422,7382414278;36547,454;153109,721590094;241,337226731332;-146880
2019-04-22;-330196,385319342;-1929,58691061792;36547,454;157182,823079789;-2194,30484982876;-140590
2019-04-23;-312270,226919502;-1828,0136977977;36547,454;161206,385059759;-4759,59844245902;-121104
