Fecha;M2;Cuenta Corriente;Caja de Ahorros;Circulante en poder del público
2019-01-02;2079379;728567;611063;739749
2019-01-03;2053778;706207;610400;737171
2019-01-04;1924464;573446;613485;737533
2019-01-07;1913266;567609;604553;741104
2019-01-08;1883102;556623;588033;738446
2019-01-09;1876508;553324;587659;735525
2019-01-10;1885230;580041;571745;733444
2019-01-11;1869251;582286;557113;729852
2019-01-14;1882477;602015;554618;725844
2019-01-15;1876961;552858;604899;719204
2019-01-16;1876543;545726;616188;714628
2019-01-17;1855237;564723;579315;711199
2019-01-18;1839813;557494;573442;708877
2019-01-21;1844663;578000;559566;707097
2019-01-22;1832823;594108;536353;702362
2019-01-23;1822112;600914;522233;698965
2019-01-24;1814371;594810;521052;698509
2019-01-25;1827265;601294;528030;697941
2019-01-28;1833873;610519;526733;696621
2019-01-29;1826914;597992;534658;694264
2019-01-30;1843710;599291;549811;694608
2019-01-31;1835011;559586;579262;696163
2019-02-01;1839748;531587;607142;701019
2019-02-04;1854977;577169;570819;706989
2019-02-05;1837574;564978;566072;706524
2019-02-06;1855403;558641;587671;709091
2019-02-07;1846323;560342;573991;711990
2019-02-08;1800841;508822;577538;714481
2019-02-11;1813186;555545;544409;713232
2019-02-12;1823332;589970;526711;706651
2019-02-13;1816344;601550;513059;701735
2019-02-14;1827606;611465;516972;699169
2019-02-15;1812817;597981;518151;696685
2019-02-18;1842855;622827;525976;694052
2019-02-19;1832856;631915;511999;688942
2019-02-20;1846771;658775;501910;686086
2019-02-21;1858572;676975;496668;684929
2019-02-22;1823674;650558;487062;686054
2019-02-25;1828349,9;665394;478172;684783,9
2019-02-26;1828726;652592;493145;682989
2019-02-27;1846477;635697;526240;684540
2019-02-28;1839564,8;580132;570076;689356,8
2019-03-01;1828885;530291;602266;696328
2019-03-06;1848731;561530;581715;705486
2019-03-07;1852223;553934;592650;705639
2019-03-08;1853655;544984;598765;709906
2019-03-11;1790884;516651;561457;712776
2019-03-12;1812160;549705;554068;708387
2019-03-13;1822742,4;579360;538485;704897,4
2019-03-14;1817394;575911;539348;702135
2019-03-15;1853835;602313;550671;700851
2019-03-18;1847008;592648;557262;697098
2019-03-19;1832188;597893;541771;692524
2019-03-20;1852708,5;634524;527750;690434,5
2019-03-21;1844032,7;623062;530232;690738,7
2019-03-22;1852898;629312;532526;691060
2019-03-25;1858686;636194;531895;690597
2019-03-26;1848005;623627;536138;688240
2019-03-27;1870314;618558;563418;688338
2019-03-28;1909740;622586;596175;690979
2019-03-29;1902839;595654;608815;698370
2019-04-01;1907806;599396;601838;706572
2019-04-03;1878842;571807;598198;708837
2019-04-04;1878259;553124;614621;710514
2019-04-05;1881241;526068;638265;716908
2019-04-08;1870428;541001;605914;723513
2019-04-09;1844903;540513;584408;719982
2019-04-10;1857617;575185;564969;717463
2019-04-11;1868472;596763;556969;714740
2019-04-12;1864975;582482;570180;712313
2019-04-15;1865959;592047;564190;709722
2019-04-16;1844091;578513;561003;704575
2019-04-17;1834075;569384;560175;704516
2019-04-22;1865708;628434;538381;698893
2019-04-23;1859088;641498;524912;692678
2019-04-24;1879032;648818;538822;691392
2019-04-25;1901639;667891;542343;691405
2019-04-26;1895157;643831;557138;694188
2019-04-29;1935191;633930;601549;699712
2019-04-30;1943918;608467;632178;703273
2019-05-02;1954468;586543;656316;711609
2019-05-03;1945867;568000;661278;716589
2019-05-06;1939936;574099;641532;724305
2019-05-07;1941021;567532;648075;725414
2019-05-08;1927795;561736;637192;728866
2019-05-09;1911580;558183;622414;730983
2019-05-10;1917534;576474;609588;731472
2019-05-13;1929762;629950;570884;728928
2019-05-14;1934245;639003;572649;722593
2019-05-15;1954331;659769;577002;717560
2019-05-16;1941125;648323;576332;716470
2019-05-17;1947036;659560;571300;716176
2019-05-20;1965305;695624;555738;713943
2019-05-21;1938359;685517;543065;709777
2019-05-22;1946249;708804;528805;708640
2019-05-23;1953582;713681;530024;709877
2019-05-24;1884222;640879;531834;711509
2019-05-27;1894443;648697;532653;713093
2019-05-28;1902510;651395;537691;713424
2019-05-29;1930512;666328;550354;713830
2019-05-30;1934392;648930;570005;715457
2019-05-31;1944916;601122;625932;717862
2019-06-03;2001820;649594;625619;726607
