Fecha;Circulante;Cta. Cte. en BCRA;Total
2020-01-02;1158878;718409;1877287
2020-01-03;1157812;676805;1834617
2020-01-06;1155605;565586;1721191
2020-01-07;1153104;527732;1680836
2020-01-08;1150008;492604;1642612
2020-01-09;1148807;479627;1628434
2020-01-10;1146482;460008;1606490
2020-01-13;1144649;483620;1628269
2020-01-14;1140886;470351;1611237
2020-01-15;1136796;458532;1595328
2020-01-16;1132603;458861;1591464
2020-01-17;1129595;454246;1583841
2020-01-20;1127942;499396;1627338
2020-01-21;1125218;589694;1714912
2020-01-22;1122048;581539;1703587
2020-01-23;1120258;477025;1597283
2020-01-24;1118420;560688;1679108
2020-01-27;1118199;788564;1906763
2020-01-28;1118777;672561;1791338
2020-01-29;1120876;628453;1749329
2020-01-30;1125821;571950;1697771
2020-01-31;1130395;578476;1708871
2020-02-03;1132285;611467;1743752
2020-02-04;1136072;677547;1813619
2020-02-05;1138320;675597;1813917
2020-02-06;1144057;743168;1887225
2020-02-07;1147152;754879;1902031
2020-02-10;1150388;756269;1906657
2020-02-11;1148652;782094;1930746
2020-02-12;1146436;781826;1928262
2020-02-13;1143423;813965;1957388
2020-02-14;1140644;814321;1954965
2020-02-17;1139830;826348;1966178
2020-02-18;1138218;803084;1941302
2020-02-19;1136784;805120;1941904
2020-02-20;1138611;749364;1887975
2020-02-21;1141783;713694;1855477
2020-02-26;1145091;661951;1807042
2020-02-27;1146837;569522;1716359
2020-02-28;1148044;568090;1716134
2020-03-02;1150464;663650;1814114
2020-03-03;1150696;587793;1738489
2020-03-04;1152334;551219;1703553
2020-03-05;1157894;545565;1703459
2020-03-06;1159947;560383;1720330
2020-03-09;1163630;563614;1727244
2020-03-10;1164306;622309;1786615
2020-03-11;1162438;641829;1804267
2020-03-12;1160461;699195;1859656
2020-03-13;1159559;696649;1856208
2020-03-16;1158749;698173;1856922
2020-03-17;1160739;757353;1918092
2020-03-18;1166179;753810;1919989
2020-03-19;1172747;852644;2025391
2020-03-20;1189932;834467;2024399
2020-03-25;1214180;991708;2205888
2020-03-26;1224686;1088410;2313096
2020-03-27;1228879;985717;2214596
2020-03-30;1233323;1058760;2292083
2020-04-01;1247701;1145209;2392910
2020-04-02;1275423;1157964;2433387
2020-04-03;1293992;1139503;2433495
2020-04-06;1308417;1103790;2412207
2020-04-07;1324520;1124938;2449458
2020-04-08;1334131;1107808;2441939
2020-04-13;1339894;1098716;2438610
2020-04-14;1343329;1097358;2440687
2020-04-15;1344304;1094526;2438830
2020-04-16;1345054;1080979;2426033
2020-04-17;1344268;587612;1931880
2020-04-20;1341943;584066;1926009
2020-04-21;1339390;560893;1900283
2020-04-22;1338004;535795;1873799
2020-04-23;1337450;520672;1858122
2020-04-24;1339445;460684;1800129
2020-04-27;1344268;522231;1866499
2020-04-28;1356394;474557;1830951
2020-04-29;1365743;414315;1780058
2020-04-30;1374204;492924;1867128
2020-05-04;1383801;1027497;2411298
2020-05-05;1393929;1066421;2460350
2020-05-06;1401854;954812;2356666
2020-05-07;1411828;889233;2301061
2020-05-08;1420556;865225;2285781
2020-05-11;1425407;937807;2363214
2020-05-12;1427765;962828;2390593
2020-05-13;1430220;896494;2326714
2020-05-14;1432810;910992;2343802
2020-05-15;1434478;1070328;2504806
2020-05-18;1435816;820180;2255996
2020-05-19;1437685;601526;2039211
2020-05-20;1439695;553934;1993629
2020-05-21;1445973;554519;2000492
2020-05-22;1450788;536607;1987395
2020-05-26;1455738;570666;2026404
2020-05-27;1457541;526179;1983720
2020-05-28;1463712;585716;2049428
2020-05-29;1467909;663383;2131292
2020-06-01;1473316;938183;2411499
2020-06-02;1476806;741347;2218153
2020-06-03;1480882;723935;2204817
2020-06-04;1488345;687188;2175533
2020-06-05;1492081;646906;2138987
2020-06-08;1498712;614326;2113038
2020-06-09;1500403;614940;2115343
2020-06-10;1503286;624355;2127641
2020-06-11;1510178;590831;2101009
2020-06-12;1513300;584291;2097591
2020-06-16;1516847;604610;2121457
2020-06-17;1520676;594226;2114902
2020-06-18;1522279;596230;2118509
2020-06-19;1525859;584442;2110301
2020-06-22;1529138;684358;2213496
2020-06-23;1532865;602701;2135566
2020-06-24;1536549;606251;2142800
2020-06-25;1542653;598032;2140685
2020-06-26;1552390;618982;2171372
2020-06-29;1561643;640741;2202384
2020-06-30;1575181;589320;2164501
2020-07-01;1583224;775873;2359097
2020-07-02;1594131;783343;2377474
2020-07-03;1607248;761359;2368607
2020-07-06;1616763;757004;2373767
2020-07-07;1628403;759864;2388267
2020-07-08;1641294;629627;2270921
2020-07-13;1646407;708604;2355011
2020-07-14;1648417;690535;2338952
2020-07-15;1647740;640602;2288342
2020-07-16;1645985;622742;2268727
2020-07-17;1643653;578223;2221876
2020-07-20;1641424;616957;2258381
2020-07-21;1639660;635174;2274834
2020-07-22;1638664;643915;2282579
2020-07-23;1637601;644061;2281662
2020-07-24;1639450;623505;2262955
2020-07-27;1642276;618546;2260822
2020-07-28;1643701;637501;2281202
2020-07-29;1646293;645073;2291366
2020-07-30;1652094;733952;2386046
2020-07-31;1656283;772617;2428900
2020-08-03;1660482;846492;2506974
2020-08-04;1663464;833894;2497358
2020-08-05;1665535;789035;2454570
2020-08-06;1670148;730372;2400520
2020-08-07;1672714;671517;2344231
2020-08-10;1674389;714962;2389351
2020-08-11;1673662;675208;2348870
2020-08-12;1673222;692738;2365960
2020-08-13;1672143;632001;2304144
2020-08-14;1671543;599930;2271473
2020-08-18;1671098;613777;2284875
2020-08-19;1671329;598179;2269508
2020-08-20;1669323;610931;2280254
2020-08-21;1666931;592143;2259074
2020-08-24;1665427;598721;2264148
2020-08-25;1663923;614189;2278112
2020-08-26;1662958;603185;2266143
2020-08-27;1663082;617104;2280186
2020-08-28;1664561;660196;2324757
2020-08-31;1667169;620056;2287225
2020-09-01;1667454;691752;2359206
2020-09-02;1668573;742863;2411436
2020-09-03;1673356;711352;2384708
2020-09-04;1674981;709688;2384669
2020-09-07;1676722;633685;2310407
2020-09-08;1677220;624503;2301723
2020-09-09;1676991;609765;2286756
2020-09-10;1677097;599646;2276743
2020-09-11;1676610;604677;2281287
2020-09-14;1675383;660707;2336090
2020-09-15;1673910;613129;2287039
2020-09-16;1672798;615272;2288070
2020-09-17;1671203;643178;2314381
2020-09-18;1670182;610592;2280774
2020-09-21;1670278;675799;2346077
2020-09-22;1669681;642298;2311979
2020-09-23;1669205;608850;2278055
2020-09-24;1670088;627550;2297638
2020-09-25;1670788;583284;2254072
2020-09-28;1672946;640685;2313631
2020-09-29;1675403;619889;2295292
2020-09-30;1677555;716140;2393695
2020-10-01;1684617;904354;2588971
2020-10-02;1686077;718459;2404536
2020-10-05;1688560;747064;2435624
2020-10-06;1691075;761799;2452874
2020-10-07;1692177;691985;2384162
2020-10-08;1698322;657514;2355836
2020-10-09;1701624;599569;2301193
2020-10-13;1702543;638021;2340564
2020-10-14;1701875;601068;2302943
2020-10-15;1700589;609984;2310573
2020-10-16;1698488;586954;2285442
2020-10-19;1696674;597355;2294029
2020-10-20;1693619;570172;2263791
2020-10-21;1690462;573374;2263836
2020-10-22;1688225;567537;2255762
2020-10-23;1685445;594181;2279626
2020-10-26;1685037;629279;2314316
2020-10-27;1684021;555978;2239999
2020-10-28;1683233;588753;2271986
2020-10-29;1684207;562415;2246622
2020-10-30;1685004;540057;2225061
2020-11-02;1686197;653867;2340064
2020-11-03;1690078;648235;2338313
2020-11-04;1695456;643094;2338550
2020-11-05;1697998;662227;2360225
2020-11-09;1698747;750413;2449160
2020-11-10;1696843;724829;2421672
2020-11-11;1694490;682011;2376501
2020-11-12;1693522;730097;2423619
2020-11-13;1692785;653741;2346526
2020-11-16;1692112;674709;2366821
2020-11-17;1690321;667504;2357825
2020-11-18;1689238;668697;2357935
2020-11-19;1687504;613272;2300776
2020-11-20;1686220;612476;2298696
2020-11-24;1686726;630693;2317419
2020-11-25;1692953;605371;2298324
2020-11-26;1694442;614793;2309235
2020-11-27;1700391;635600;2335991
2020-11-30;1705170;522105;2227275
2020-12-01;1707906;640179;2348085
2020-12-02;1716252;665426;2381678
2020-12-03;1730304;643045;2373349
2020-12-04;1738469;643265;2381734
2020-12-09;1747010;752277;2499287
2020-12-10;1755663;742352;2498015
2020-12-11;1758331;694860;2453191
2020-12-14;1761476;638172;2399648
2020-12-15;1766355;590931;2357286
2020-12-16;1772166;573537;2345703
2020-12-17;1778652;621997;2400649
2020-12-18;1788193;645101;2433294
2020-12-21;1807695;636012;2443707
2020-12-22;1834267;644396;2478663
2020-12-23;1858376;544419;2402795
2020-12-28;1887425;658012;2545437
2020-12-29;1897746;683898;2581644
2020-12-30;1897825;572435;2470260
2021-01-04;1897544;729205;2626749
2021-01-05;1894407;724878;2619285
2021-01-06;1891553;767470;2659023
2021-01-07;1888402;795589;2683991
2021-01-08;1885161;688651;2573812
2021-01-11;1881753;713186;2594939
2021-01-12;1878166;722548;2600714
2021-01-13;1874086;784478;2658564
2021-01-14;1868435;762764;2631199
2021-01-15;1863034;736546;2599580
2021-01-18;1859758;705271;2565029
2021-01-19;1854589;715944;2570533
2021-01-20;1849831;752514;2602345
2021-01-21;1845722;760694;2606416
2021-01-22;1841464;776526;2617990
2021-01-25;1839233;783544;2622777
2021-01-26;1836660;763624;2600284
2021-01-27;1835096;728447;2563543
2021-01-28;1833262;759686;2592948
2021-01-29;1831071;650239;2481310
2021-02-01;1831140;773238;2604378
2021-02-02;1830604;775600;2606204
2021-02-03;1830768;779977;2610745
2021-02-04;1833547;765897;2599444
2021-02-05;1834388;751992;2586380
2021-02-08;1837066;797370;2634436
2021-02-09;1839612;748805;2588417
2021-02-10;1844247;746762;2591009
